insert into attendance_detail values(1294, 1248, '10:55', '17:56');
insert into attendance_detail values(1457, 1404, '10:36', '11:53');
insert into attendance_detail values(1458, 1404, '12:42', '17:59');
insert into attendance_detail values(1459, 1405, '09:05', '17:58');
insert into attendance_detail values(1460, 1406, '09:10', '17:56');
insert into attendance_detail values(1461, 1407, '10:24', '17:54');
insert into attendance_detail values(1462, 1408, '09:09', '17:59');
insert into attendance_detail values(1463, 1409, '09:07', '17:53');
insert into attendance_detail values(1464, 1410, '09:07', '17:54');
insert into attendance_detail values(1465, 1411, '09:00', '17:59');
insert into attendance_detail values(1466, 1412, '09:04', '17:51');
insert into attendance_detail values(1467, 1413, '09:06', '17:51');
insert into attendance_detail values(1468, 1414, '09:05', '17:56');
insert into attendance_detail values(1469, 1415, '09:05', '17:57');
insert into attendance_detail values(1470, 1416, '09:04', '17:53');
insert into attendance_detail values(1471, 1417, '09:00', '17:55');
insert into attendance_detail values(1472, 1418, '09:04', '17:58');
insert into attendance_detail values(1473, 1419, '09:10', '17:59');
insert into attendance_detail values(1474, 1420, '09:02', '17:53');
insert into attendance_detail values(1475, 1421, '09:09', '17:54');
insert into attendance_detail values(1476, 1422, '10:42', '17:54');
insert into attendance_detail values(1477, 1423, '09:06', '17:56');
insert into attendance_detail values(1478, 1424, '10:33', '17:54');
insert into attendance_detail values(1479, 1425, '09:07', '17:51');
insert into attendance_detail values(1480, 1426, '09:04', '17:55');
insert into attendance_detail values(1481, 1427, '09:01', '17:50');
insert into attendance_detail values(1482, 1428, '09:07', '17:56');
insert into attendance_detail values(1483, 1429, '09:07', '13:48');
insert into attendance_detail values(1484, 1430, '10:21', '17:55');
insert into attendance_detail values(1537, 1483, '09:06', '17:56');
insert into attendance_detail values(1538, 1484, '09:04', '17:56');
insert into attendance_detail values(1539, 1485, '10:30', '14:54');
insert into attendance_detail values(1540, 1485, '15:48', '17:54');
insert into attendance_detail values(1541, 1486, '09:01', '17:58');
insert into attendance_detail values(1542, 1487, '09:24', '17:59');
insert into attendance_detail values(1543, 1488, '09:08', '17:58');
insert into attendance_detail values(1544, 1489, '09:03', '17:54');
insert into attendance_detail values(1545, 1490, '09:49', '17:55');
insert into attendance_detail values(1546, 1491, '09:08', '17:52');
insert into attendance_detail values(1547, 1492, '09:05', '17:55');
insert into attendance_detail values(1548, 1493, '09:08', '17:50');
insert into attendance_detail values(1549, 1494, '09:02', '17:53');
insert into attendance_detail values(1550, 1495, '09:10', '17:50');
insert into attendance_detail values(1551, 1496, '09:03', '17:51');
insert into attendance_detail values(1552, 1497, '09:10', '17:51');
insert into attendance_detail values(1553, 1498, '09:00', '17:54');
insert into attendance_detail values(1554, 1499, '09:08', '17:50');
insert into attendance_detail values(1555, 1500, '09:07', '15:42');
insert into attendance_detail values(1556, 1501, '10:53', '17:51');
insert into attendance_detail values(1557, 1502, '09:09', '12:23');
insert into attendance_detail values(1558, 1503, '09:01', '17:53');
insert into attendance_detail values(1559, 1504, '09:06', '17:51');
insert into attendance_detail values(1560, 1505, '09:27', '17:59');
insert into attendance_detail values(1561, 1506, '09:00', '17:58');
insert into attendance_detail values(1562, 1507, '09:02', '17:59');
insert into attendance_detail values(1563, 1508, '10:29', '17:58');
insert into attendance_detail values(1565, 1510, '09:05', '17:50');
insert into attendance_detail values(1567, 1512, '09:07', '17:51');
insert into attendance_detail values(1568, 1513, '09:56', '12:31');
insert into attendance_detail values(1569, 1514, '09:05', '17:58');
insert into attendance_detail values(1570, 1515, '09:03', '17:50');
insert into attendance_detail values(1571, 1516, '09:09', '17:54');
insert into attendance_detail values(1572, 1517, '09:00', '17:55');
insert into attendance_detail values(1573, 1518, '09:10', '17:50');
insert into attendance_detail values(1574, 1519, '09:05', '17:55');
insert into attendance_detail values(1575, 1520, '09:09', '17:58');
insert into attendance_detail values(1576, 1521, '09:08', '17:58');
insert into attendance_detail values(1577, 1522, '09:04', '17:58');
insert into attendance_detail values(1578, 1523, '09:06', '17:54');
insert into attendance_detail values(1579, 1524, '09:07', '17:55');
insert into attendance_detail values(1580, 1525, '09:09', '17:57');
insert into attendance_detail values(1581, 1526, '09:07', '17:59');
insert into attendance_detail values(1582, 1527, '09:01', '17:50');
insert into attendance_detail values(1583, 1528, '10:33', '17:58');
insert into attendance_detail values(1584, 1529, '09:00', '17:52');
insert into attendance_detail values(1585, 1530, '09:09', '17:50');
insert into attendance_detail values(1586, 1531, '09:05', '17:58');
insert into attendance_detail values(1587, 1532, '09:02', '17:55');
insert into attendance_detail values(1588, 1533, '09:07', '17:51');
insert into attendance_detail values(1589, 1534, '09:05', '14:31');
insert into attendance_detail values(1590, 1534, '15:56', '17:54');
insert into attendance_detail values(1591, 1535, '09:10', '17:53');
insert into attendance_detail values(1592, 1536, '09:09', '17:57');
insert into attendance_detail values(1593, 1537, '09:07', '17:52');
insert into attendance_detail values(1594, 1538, '09:05', '17:54');
insert into attendance_detail values(1595, 1539, '09:08', '17:55');
insert into attendance_detail values(1596, 1540, '09:24', '17:51');
insert into attendance_detail values(1597, 1541, '09:02', '14:16');
insert into attendance_detail values(1598, 1542, '09:01', '17:50');
insert into attendance_detail values(1599, 1543, '09:08', '17:58');
insert into attendance_detail values(1600, 1544, '10:23', '17:53');
insert into attendance_detail values(1601, 1545, '09:07', '17:59');
insert into attendance_detail values(1602, 1546, '09:01', '17:54');
insert into attendance_detail values(1603, 1547, '09:17', '17:59');
insert into attendance_detail values(1604, 1548, '09:05', '17:51');
insert into attendance_detail values(1605, 1549, '09:07', '17:55');
insert into attendance_detail values(1606, 1550, '09:01', '17:54');
insert into attendance_detail values(1607, 1551, '09:10', '17:56');
insert into attendance_detail values(1608, 1552, '09:08', '14:03');
insert into attendance_detail values(1609, 1552, '15:42', '17:56');
insert into attendance_detail values(1610, 1553, '10:14', '17:55');
insert into attendance_detail values(1611, 1554, '09:09', '17:58');
insert into attendance_detail values(1612, 1555, '09:00', '17:51');
insert into attendance_detail values(1613, 1556, '09:00', '17:56');
insert into attendance_detail values(1614, 1557, '09:34', '17:58');
insert into attendance_detail values(1615, 1558, '09:08', '17:56');
insert into attendance_detail values(1616, 1559, '09:06', '17:54');
insert into attendance_detail values(1617, 1560, '09:00', '17:51');
insert into attendance_detail values(1618, 1561, '09:06', '17:54');
insert into attendance_detail values(1619, 1562, '09:38', '17:55');
insert into attendance_detail values(1620, 1563, '09:07', '17:59');
insert into attendance_detail values(1621, 1564, '09:02', '17:56');
insert into attendance_detail values(1622, 1565, '09:10', '17:51');
insert into attendance_detail values(1623, 1566, '09:07', '17:55');
insert into attendance_detail values(1624, 1567, '09:16', '17:53');
insert into attendance_detail values(1625, 1568, '09:10', '17:54');
insert into attendance_detail values(1626, 1569, '09:02', '17:58');
insert into attendance_detail values(1627, 1570, '10:23', '17:50');
insert into attendance_detail values(1628, 1571, '09:05', '17:51');
insert into attendance_detail values(1629, 1572, '09:10', '17:56');
insert into attendance_detail values(1630, 1573, '09:04', '17:50');
insert into attendance_detail values(1631, 1574, '09:05', '17:54');
insert into attendance_detail values(1632, 1575, '09:32', '17:59');
insert into attendance_detail values(1633, 1576, '09:57', '17:50');
insert into attendance_detail values(1634, 1577, '10:44', '17:55');
insert into attendance_detail values(1635, 1578, '09:10', '17:59');
insert into attendance_detail values(1636, 1579, '10:33', '17:54');
insert into attendance_detail values(1639, 1582, '09:17', '17:56');
insert into attendance_detail values(1640, 1583, '09:09', '17:51');
insert into attendance_detail values(1641, 1584, '09:03', '17:59');
insert into attendance_detail values(1642, 1585, '09:09', '17:51');
insert into attendance_detail values(1644, 1587, '09:09', '17:54');
insert into attendance_detail values(1645, 1588, '09:09', '17:59');
insert into attendance_detail values(1646, 1589, '09:01', '17:55');
insert into attendance_detail values(1647, 1590, '09:07', '17:54');
insert into attendance_detail values(1648, 1591, '09:01', '17:57');
insert into attendance_detail values(1649, 1592, '09:36', '17:59');
insert into attendance_detail values(1650, 1593, '09:01', '17:56');
insert into attendance_detail values(1651, 1594, '09:02', '17:58');
insert into attendance_detail values(1652, 1595, '09:07', '13:07');
insert into attendance_detail values(1653, 1596, '09:06', '17:58');
insert into attendance_detail values(1654, 1597, '09:03', '17:55');
insert into attendance_detail values(1655, 1598, '09:05', '17:52');
insert into attendance_detail values(1656, 1599, '09:08', '17:51');
insert into attendance_detail values(1657, 1600, '10:14', '17:55');
insert into attendance_detail values(1658, 1601, '09:09', '17:57');
insert into attendance_detail values(1659, 1602, '10:51', '17:58');
insert into attendance_detail values(1660, 1603, '09:37', '16:16');
insert into attendance_detail values(1661, 1604, '09:06', '17:52');
insert into attendance_detail values(1662, 1605, '09:02', '17:52');
insert into attendance_detail values(1663, 1606, '09:00', '17:58');
insert into attendance_detail values(1664, 1607, '09:02', '17:54');
insert into attendance_detail values(1665, 1608, '09:07', '17:50');
insert into attendance_detail values(1666, 1609, '10:32', '10:41');
insert into attendance_detail values(1667, 1609, '11:46', '17:56');
insert into attendance_detail values(1668, 1610, '10:32', '12:54');
insert into attendance_detail values(1669, 1611, '09:05', '17:51');
insert into attendance_detail values(1670, 1612, '09:05', '14:15');
insert into attendance_detail values(1671, 1612, '15:43', '17:50');
insert into attendance_detail values(1724, 1665, '09:09', '17:59');
insert into attendance_detail values(1725, 1666, '09:03', '17:58');
insert into attendance_detail values(1726, 1667, '09:04', '17:50');
insert into attendance_detail values(1727, 1668, '09:05', '17:54');
insert into attendance_detail values(1728, 1669, '09:08', '17:56');
insert into attendance_detail values(1729, 1670, '10:58', '17:56');
insert into attendance_detail values(1730, 1671, '09:08', '15:56');
insert into attendance_detail values(1731, 1671, '16:58', '17:58');
insert into attendance_detail values(1732, 1672, '09:00', '17:50');
insert into attendance_detail values(1733, 1673, '09:02', '17:58');
insert into attendance_detail values(1734, 1674, '09:08', '17:56');
insert into attendance_detail values(1735, 1675, '09:00', '17:55');
insert into attendance_detail values(1736, 1676, '09:06', '17:56');
insert into attendance_detail values(1737, 1677, '09:10', '17:50');
insert into attendance_detail values(1738, 1678, '09:04', '17:56');
insert into attendance_detail values(1739, 1679, '09:00', '17:50');
insert into attendance_detail values(1740, 1680, '09:06', '17:59');
insert into attendance_detail values(1741, 1681, '10:27', '10:55');
insert into attendance_detail values(1742, 1681, '11:56', '17:54');
insert into attendance_detail values(1743, 1682, '09:04', '17:54');
insert into attendance_detail values(1744, 1683, '09:01', '17:53');
insert into attendance_detail values(1745, 1684, '09:07', '13:12');
insert into attendance_detail values(1746, 1685, '09:06', '17:52');
insert into attendance_detail values(1747, 1686, '09:01', '17:55');
insert into attendance_detail values(1748, 1687, '10:31', '11:44');
insert into attendance_detail values(1749, 1687, '12:38', '17:53');
insert into attendance_detail values(1750, 1688, '09:00', '17:59');
insert into attendance_detail values(1751, 1689, '09:07', '17:52');
insert into attendance_detail values(1752, 1690, '09:07', '17:56');
insert into attendance_detail values(1753, 1691, '09:01', '17:57');
insert into attendance_detail values(1754, 1692, '09:02', '17:59');
insert into attendance_detail values(1755, 1693, '10:15', '17:51');
insert into attendance_detail values(1756, 1694, '09:04', '15:05');
insert into attendance_detail values(1757, 1695, '10:35', '17:55');
insert into attendance_detail values(1758, 1696, '10:29', '11:27');
insert into attendance_detail values(1759, 1696, '12:43', '17:56');
insert into attendance_detail values(1760, 1697, '09:05', '17:53');
insert into attendance_detail values(1761, 1698, '10:46', '17:55');
insert into attendance_detail values(1762, 1699, '09:04', '17:53');
insert into attendance_detail values(1763, 1700, '10:52', '10:01');
insert into attendance_detail values(1764, 1700, '11:33', '17:57');
insert into attendance_detail values(1765, 1701, '09:30', '17:58');
insert into attendance_detail values(1766, 1702, '09:07', '17:50');
insert into attendance_detail values(1767, 1703, '09:01', '17:50');
insert into attendance_detail values(1768, 1704, '09:10', '17:50');
insert into attendance_detail values(1769, 1705, '09:08', '17:54');
insert into attendance_detail values(1770, 1706, '10:24', '17:54');
insert into attendance_detail values(1771, 1707, '09:03', '17:54');
insert into attendance_detail values(1772, 1708, '09:01', '17:57');
insert into attendance_detail values(1773, 1709, '09:05', '17:53');
insert into attendance_detail values(1774, 1710, '10:56', '15:55');
insert into attendance_detail values(1775, 1710, '16:59', '17:50');
insert into attendance_detail values(1776, 1711, '09:07', '17:53');
insert into attendance_detail values(1777, 1712, '09:42', '17:51');
insert into attendance_detail values(1778, 1713, '09:02', '17:57');
insert into attendance_detail values(1779, 1714, '09:00', '17:55');
insert into attendance_detail values(1780, 1715, '10:43', '17:58');
insert into attendance_detail values(1781, 1716, '10:35', '14:49');
insert into attendance_detail values(1782, 1717, '09:06', '17:51');
insert into attendance_detail values(1783, 1718, '09:03', '17:54');
insert into attendance_detail values(1784, 1719, '09:06', '17:58');
insert into attendance_detail values(1785, 1720, '09:10', '17:55');
insert into attendance_detail values(1786, 1721, '09:01', '17:54');
insert into attendance_detail values(1787, 1722, '09:06', '17:53');
insert into attendance_detail values(1788, 1723, '09:04', '17:57');
insert into attendance_detail values(1789, 1724, '09:02', '17:58');
insert into attendance_detail values(1790, 1725, '09:04', '17:51');
insert into attendance_detail values(1791, 1726, '09:03', '17:55');
insert into attendance_detail values(1792, 1727, '09:07', '17:52');
insert into attendance_detail values(1793, 1728, '10:33', '14:32');
insert into attendance_detail values(1794, 1728, '15:47', '17:52');
insert into attendance_detail values(1795, 1729, '09:00', '17:55');
insert into attendance_detail values(1796, 1730, '09:01', '17:50');
insert into attendance_detail values(1797, 1731, '10:34', '17:56');
insert into attendance_detail values(1798, 1732, '09:08', '17:50');
insert into attendance_detail values(1799, 1733, '09:00', '17:56');
insert into attendance_detail values(1800, 1734, '09:02', '17:54');
insert into attendance_detail values(1801, 1735, '09:22', '17:53');
insert into attendance_detail values(1802, 1736, '09:04', '17:54');
insert into attendance_detail values(1803, 1737, '09:10', '17:50');
insert into attendance_detail values(1804, 1738, '09:08', '17:50');
insert into attendance_detail values(1805, 1739, '09:09', '17:50');
insert into attendance_detail values(1806, 1740, '10:17', '10:13');
insert into attendance_detail values(1807, 1740, '11:52', '17:54');
insert into attendance_detail values(1808, 1741, '09:04', '17:52');
insert into attendance_detail values(1809, 1742, '09:00', '17:58');
insert into attendance_detail values(1810, 1743, '09:08', '17:54');
insert into attendance_detail values(1811, 1744, '09:03', '17:58');
insert into attendance_detail values(1812, 1745, '09:05', '17:54');
insert into attendance_detail values(1813, 1746, '09:09', '17:58');
insert into attendance_detail values(1814, 1747, '09:27', '17:56');
insert into attendance_detail values(1815, 1748, '09:09', '12:11');
insert into attendance_detail values(1816, 1748, '13:47', '17:52');
insert into attendance_detail values(1817, 1749, '09:05', '17:57');
insert into attendance_detail values(1818, 1750, '09:19', '14:57');
insert into attendance_detail values(1819, 1751, '09:10', '17:57');
insert into attendance_detail values(1820, 1752, '09:03', '17:53');
insert into attendance_detail values(1821, 1753, '09:06', '17:55');
insert into attendance_detail values(1822, 1754, '10:18', '17:51');
insert into attendance_detail values(1823, 1755, '09:45', '13:05');
insert into attendance_detail values(1824, 1756, '09:02', '17:55');
insert into attendance_detail values(1825, 1757, '09:03', '17:59');
insert into attendance_detail values(1826, 1758, '10:48', '13:40');
insert into attendance_detail values(1827, 1759, '10:33', '17:53');
insert into attendance_detail values(1828, 1760, '09:10', '17:51');
insert into attendance_detail values(1829, 1761, '09:00', '17:53');
insert into attendance_detail values(1830, 1762, '09:36', '11:49');
insert into attendance_detail values(1831, 1762, '12:36', '17:55');
insert into attendance_detail values(1832, 1763, '09:04', '17:51');
insert into attendance_detail values(1833, 1764, '09:07', '10:16');
insert into attendance_detail values(1834, 1764, '11:35', '17:54');
insert into attendance_detail values(1835, 1765, '09:04', '17:56');
insert into attendance_detail values(1836, 1766, '09:05', '17:54');
insert into attendance_detail values(1837, 1767, '09:02', '17:56');
insert into attendance_detail values(1838, 1768, '09:03', '17:54');
insert into attendance_detail values(1839, 1769, '09:08', '17:59');
insert into attendance_detail values(1840, 1770, '09:05', '12:09');
insert into attendance_detail values(1841, 1770, '13:39', '17:53');
insert into attendance_detail values(1842, 1771, '09:13', '11:35');
insert into attendance_detail values(1843, 1772, '09:00', '17:57');
insert into attendance_detail values(1844, 1773, '09:08', '17:51');
insert into attendance_detail values(1845, 1774, '09:06', '17:56');
insert into attendance_detail values(1846, 1775, '10:12', '15:26');
insert into attendance_detail values(1847, 1776, '09:10', '17:55');
insert into attendance_detail values(1848, 1777, '09:03', '10:26');
insert into attendance_detail values(1849, 1778, '09:08', '17:54');
insert into attendance_detail values(1850, 1779, '09:08', '17:57');
insert into attendance_detail values(1851, 1780, '09:04', '17:50');
insert into attendance_detail values(1852, 1781, '09:01', '17:56');
insert into attendance_detail values(1853, 1782, '10:11', '14:55');
insert into attendance_detail values(1854, 1782, '15:55', '17:57');
insert into attendance_detail values(1855, 1783, '09:05', '17:56');
insert into attendance_detail values(1856, 1784, '09:06', '17:55');
insert into attendance_detail values(1857, 1785, '09:09', '17:52');
insert into attendance_detail values(1858, 1786, '09:07', '17:50');
insert into attendance_detail values(1859, 1787, '09:06', '17:54');
insert into attendance_detail values(1860, 1788, '09:08', '17:54');
insert into attendance_detail values(1861, 1789, '09:09', '17:53');
insert into attendance_detail values(1862, 1790, '09:46', '17:55');
insert into attendance_detail values(1863, 1791, '09:06', '17:56');
insert into attendance_detail values(1864, 1792, '09:09', '17:58');
insert into attendance_detail values(1865, 1793, '09:03', '17:58');
insert into attendance_detail values(1866, 1794, '09:02', '17:56');
insert into attendance_detail values(1919, 1847, '09:10', '17:58');
insert into attendance_detail values(1920, 1848, '09:04', '11:45');
insert into attendance_detail values(1921, 1849, '09:01', '17:59');
insert into attendance_detail values(1922, 1850, '09:10', '17:59');
insert into attendance_detail values(1923, 1851, '09:28', '17:53');
insert into attendance_detail values(1924, 1852, '09:00', '11:15');
insert into attendance_detail values(1925, 1852, '12:56', '17:58');
insert into attendance_detail values(1926, 1853, '09:09', '17:55');
insert into attendance_detail values(1927, 1854, '09:02', '17:54');
insert into attendance_detail values(1928, 1855, '09:05', '17:50');
insert into attendance_detail values(1929, 1856, '09:01', '17:56');
insert into attendance_detail values(1930, 1857, '09:10', '17:54');
insert into attendance_detail values(1931, 1858, '09:03', '17:58');
insert into attendance_detail values(1932, 1859, '09:04', '17:58');
insert into attendance_detail values(1933, 1860, '09:03', '17:59');
insert into attendance_detail values(1934, 1861, '10:57', '17:51');
insert into attendance_detail values(1935, 1862, '09:06', '17:59');
insert into attendance_detail values(1936, 1863, '09:01', '17:52');
insert into attendance_detail values(1939, 1865, '09:24', '13:27');
insert into attendance_detail values(1940, 1866, '09:08', '17:56');
insert into attendance_detail values(1941, 1867, '09:00', '17:52');
insert into attendance_detail values(1942, 1868, '09:02', '17:51');
insert into attendance_detail values(1943, 1869, '09:08', '17:50');
insert into attendance_detail values(1944, 1870, '09:01', '17:58');
insert into attendance_detail values(1945, 1871, '09:00', '17:52');
insert into attendance_detail values(1946, 1872, '09:03', '17:54');
insert into attendance_detail values(1947, 1873, '09:02', '17:57');
insert into attendance_detail values(1948, 1874, '09:01', '17:57');
insert into attendance_detail values(1949, 1875, '09:08', '17:57');
insert into attendance_detail values(1950, 1876, '09:06', '17:57');
insert into attendance_detail values(1951, 1877, '09:04', '17:55');
insert into attendance_detail values(1952, 1878, '09:07', '17:56');
insert into attendance_detail values(1953, 1879, '09:08', '17:52');
insert into attendance_detail values(1954, 1880, '09:10', '17:59');
insert into attendance_detail values(1955, 1881, '09:01', '17:54');
insert into attendance_detail values(1956, 1882, '09:02', '17:51');
insert into attendance_detail values(1957, 1883, '09:03', '17:59');
insert into attendance_detail values(1958, 1884, '09:07', '17:50');
insert into attendance_detail values(1959, 1885, '09:05', '17:57');
insert into attendance_detail values(1960, 1886, '09:06', '17:55');
insert into attendance_detail values(1961, 1887, '09:07', '17:54');
insert into attendance_detail values(1962, 1888, '09:08', '17:54');
insert into attendance_detail values(1963, 1889, '09:47', '17:51');
insert into attendance_detail values(1964, 1890, '10:28', '17:53');
insert into attendance_detail values(1965, 1891, '09:09', '10:29');
insert into attendance_detail values(1966, 1892, '09:00', '17:51');
insert into attendance_detail values(1967, 1893, '09:01', '10:29');
insert into attendance_detail values(1968, 1894, '10:22', '10:02');
insert into attendance_detail values(1969, 1894, '11:58', '17:52');
insert into attendance_detail values(1970, 1895, '09:06', '17:55');
insert into attendance_detail values(1971, 1896, '09:07', '17:53');
insert into attendance_detail values(1972, 1897, '09:05', '17:58');
insert into attendance_detail values(1973, 1898, '09:07', '17:54');
insert into attendance_detail values(1974, 1899, '09:01', '17:57');
insert into attendance_detail values(1975, 1900, '09:03', '17:53');
insert into attendance_detail values(1976, 1901, '09:10', '17:57');
insert into attendance_detail values(1977, 1902, '09:04', '17:56');
insert into attendance_detail values(1978, 1903, '09:04', '17:59');
insert into attendance_detail values(1979, 1904, '09:09', '17:59');
insert into attendance_detail values(1980, 1905, '09:06', '17:59');
insert into attendance_detail values(1981, 1906, '09:07', '12:04');
insert into attendance_detail values(1982, 1907, '09:02', '11:48');
insert into attendance_detail values(1983, 1908, '09:03', '17:59');
insert into attendance_detail values(1984, 1909, '09:04', '17:51');
insert into attendance_detail values(1985, 1910, '09:10', '17:55');
insert into attendance_detail values(1986, 1911, '09:04', '17:54');
insert into attendance_detail values(1987, 1912, '10:11', '17:53');
insert into attendance_detail values(1988, 1913, '09:00', '17:53');
insert into attendance_detail values(1989, 1914, '09:07', '17:56');
